node_id,node_name,start_lon,start_lat,end_lon,end_lat
16074676,Dil Ber - Legehar (Old Train Station),38.7374397,9.0710894,38.7533069,9.0109604
16074771,Legehar (Old Train Station) - Sebeta,38.7533069,9.0109604,38.6221215,8.9114218
16074871,Gerji Mebrat Haile - Darmar,38.814876,9.003632,38.734809,9.0155412
16075030,Piassa Arada - Gefersa,38.7522029,9.0365871,38.642409,9.031909
16086556,Sansusi - Autobis Tera,38.6891023,9.0714186,38.7321005,9.0347276
16088269,Ayer Tena - Autobis Tera (2),38.6982193,8.9831093,38.7324012,9.0317912
16088616,Megenagna Terminal - Bole Arabsa,38.8026673,9.0203188,38.8906061,8.9720161
16088617,Shero Meda - Megenagna,38.7612538,9.0622823,38.8021491,9.0180934
16088618,Mexico - Hana Mariam (2),38.7444332,9.0094665,38.7440895,8.935835
16088619,Bole Millenium - 4 Kilo,38.7897496,8.9885373,38.7632636,9.034462
16112803,Gurara - Autobis Tera,38.7893816,9.0626023,38.7321005,9.0347276
16112804,Megenagna - Aleltu,38.8021491,9.0180934,39.1027184,9.1662839
16112805,Legehar (Old Train Station) - Akaki Korkoro,38.7533069,9.0109604,38.7961539,8.8597556
16112806,Sansusi - Piassa Arada,38.6891023,9.0714186,38.7522029,9.0365871
16113471,Shero Meda - Legehar (Old Train Station),38.7612538,9.0622823,38.7533069,9.0109604
16148441,Holeta - Merkato,38.497947,9.0675662,38.7312293,9.0337594
16148442,Legehar (Old Train Station) - Jemmo 3,38.7533069,9.0109604,38.6985348,8.9556244
16148443,Sululta - Autobis Tera,38.7589682,9.1824886,38.7321005,9.0347276
16151480,Summit Condominiums - Arat Kilo,38.8569749,8.9842709,38.7633615,9.0319312
16151481,Feli Doro - Autobis Tera,38.6853297,9.0353789,38.7321005,9.0347276
16239079,Saris Abo - Dukem,38.7692016,8.9444277,38.904499,8.7923056
16239080,Legehar (Old Train Station) - Debre Zeit,38.7533069,9.0109604,38.9919321,8.7420315
16290773,Addisu Gebeya - Bole Mickael,38.7374497,9.0594855,38.7772221,8.9816131
16290774,Legehar (Old Train Station) - Kara,38.7533069,9.0109604,38.8643277,9.0403987
16290775,Summit Condominiums - Legehar (Old Train Station),38.8569749,8.9842709,38.7533069,9.0109604
16761109,Mekanisa Kore - Autobis Tera,38.714981,8.9804485,38.7321005,9.0347276
16761258,St. George Church - Mekanisa Kore,38.7524175,9.0363938,38.714981,8.9804485
16761408,Summit Condominiums - Piassa Arada,38.8569749,8.9842709,38.7522029,9.0365871
16761711,Menagesha - Autobis Tera,38.5673614,9.0546479,38.7321005,9.0347276
16761937,Piassa Arada - Bethel,38.7522029,9.0365871,38.6944335,9.0045877
16763531,Mikili Land - Autobis Tera,38.6987792,9.051327,38.7321005,9.0347276
16763585,Saris - Hana Mariam,38.7634093,8.9535755,38.7544146,8.9309368
16763690,Winget - Stadium,38.7138884,9.0554455,38.7570321,9.0120276
16763761,Shero Meda - Megenagna,38.7612538,9.0622823,38.8021491,9.0180934
16763787,Saris Abo - Ayer Tena,38.7692016,8.9444277,38.6982193,8.9831093
16763889,Megenagna - Bole Bulbula,38.8021491,9.0180934,38.7853078,8.948586
16764498,Piassa Arada - Addis Sefer,38.7522029,9.0365871,38.7676814,8.9603711
16764670,Megenagna - Kilinto,38.8021491,9.0180934,38.7993025,8.8898875
16764708,Entoto Mariam - 4 Kilo,38.7634328,9.0907857,38.7632636,9.034462
16764849,Tulu Dimtu - Megenagna,38.8041524,8.8556159,38.8021491,9.0180934
16765470,Piassa Arada - Bole Arabsa,38.7522029,9.0365871,38.8906061,8.9720161
16765619,Megenagna - Ayer Tena,38.8021491,9.0180934,38.6982193,8.9831093
16765723,Koye Feche - Piassa Arada,38.8270083,8.9045894,38.7522029,9.0365871
16793879,Raguel Church - Kechenie,38.7422058,9.0339778,38.7511864,9.0667289
16794104,Piassa Arada - Jemmo 3,38.7522029,9.0365871,38.6985348,8.9556244
16794335,Tulu Dimtu - Piassa Arada,38.8041524,8.8556159,38.7522029,9.0365871
16794581,Megenagna - Addisu Gebeya,38.8021491,9.0180934,38.7374497,9.0594855
16794648,Megenagna - Koye Feche,38.8021491,9.0180934,38.8270083,8.9045894
16794702,Kela - Autobis Tera,38.6101592,9.0576131,38.7321005,9.0347276
16794769,Summit Condominiums - Megenagna Terminal,38.8569749,8.9842709,38.8026673,9.0203188
16794971,Megenagna - Haile Garment,38.8021491,9.0180934,38.7345586,8.9387647
16795336,Yeka Abado - Mexico,38.875565,9.0689298,38.7444332,9.0094665
16798923,Bole Arabsa - Mexico,38.8906061,8.9720161,38.7444332,9.0094665
16799067,Raguel Church - Bela Mazorya,38.7422058,9.0339778,38.7852975,9.0465186
